顧客ID,顧客名,顧客名カナ,性別,生年月日,既未婚,都道府県ID,都道府県,地方,職業
STRING,STRING,STRING,INT,DATE,INT,STRING,STRING,STRING,STRING
10001,市川　清美,ｲﾁｶﾜ ｷﾖﾐ,2,1968/7/2,1,1,北海道,1 北海道,主婦
10002,伊藤　稔,ｲﾄｳ ﾐﾉﾙ,1,1939/5/16,0,1,北海道,1 北海道,公務員
10003,圓川　龍之,ｴﾝｶﾜ ﾀﾂﾕｷ,1,1952/1/20,0,1,北海道,1 北海道,会社員
10004,大田　康幸,ｵｵﾀ ﾔｽﾕｷ,1,1959/3/12,1,1,北海道,1 北海道,会社員
10005,大本　勘市,ｵｵﾓﾄ ｶﾝｲﾁ,1,1956/11/7,0,1,北海道,1 北海道,自営業
10006,亀井　眞理,ｶﾒｲ ﾏﾘ,2,1961/12/20,1,1,北海道,1 北海道,主婦
10007,刈谷　雅一,ｶﾘﾔ ﾏｻｶｽﾞ,1,1960/9/17,1,1,北海道,1 北海道,パート・アルバイト
10008,北畠　範文,ｷﾀﾊﾞﾀｹ ﾉﾘﾌﾐ,1,1936/2/26,1,1,北海道,1 北海道,会社員
10009,木村　哲哉,ｷﾑﾗ ﾃﾂﾔ,1,1963/9/18,0,1,北海道,1 北海道,会社員
10010,吉良　秀秋,ｷﾗ ﾋﾃﾞｱｷ,1,1949/10/6,0,1,北海道,1 北海道,その他
20001,岩間　伸二,ｲﾜﾏ ｼﾝｼﾞ,1,1962/3/5,0,4,宮城,2 東北,会社員
20002,植田　一,ｳｴﾀﾞ ﾊｼﾞﾒ,1,1963/2/3,1,4,宮城,2 東北,会社員
20003,内山　英二,ｳﾁﾔﾏ ｴｲｼﾞ,1,1953/6/2,1,4,宮城,2 東北,自営業
20004,神尾　昭紀,ｶﾐｵ ｱｷﾉﾘ,1,1970/1/10,0,4,宮城,2 東北,自営業
20005,古賀　正義,ｺｶﾞ ﾏｻﾖｼ,1,1945/6/29,1,4,宮城,2 東北,会社員
20006,小林　主枝,ｺﾊﾞﾔｼ ｸﾆｴ,2,1965/11/13,0,4,宮城,2 東北,会社員
20007,畑中　勝利,ﾊﾀﾅｶ ｶﾂﾄｼ,1,1962/8/16,1,7,福島,2 東北,公務員
20008,浜崎　宏治,ﾊﾏｻﾞｷ ｺｳｼﾞ,1,1942/2/12,1,7,福島,2 東北,公務員
20009,久嶋　廣司,ﾋｻｼﾞﾏ ﾋﾛｼ,1,1948/4/10,0,7,福島,2 東北,公務員
20010,平野　元久,ﾋﾗﾉ ﾓﾄﾋｻ,1,1971/5/2,0,7,福島,2 東北,会社員
30001,滝口　昭,ﾀｷｸﾞﾁ ｱｷﾗ,1,1989/12/14,0,12,千葉,3 関東,会社員
30002,田中　義文,ﾀﾅｶ ﾖｼﾌﾐ,1,1960/3/8,1,12,千葉,3 関東,会社員
30003,中田　晴雄,ﾅｶﾀ ﾊﾙｵ,1,1961/11/18,1,12,千葉,3 関東,会社員
30004,成澤　功滋,ﾅﾙｻﾜ ｺｳｼﾞ,1,1976/5/26,1,12,千葉,3 関東,自営業
30005,西田　裕子,ﾆｼﾀﾞ ﾋﾛｺ,2,1970/5/19,0,12,千葉,3 関東,会社員
